toote_nimi,toidu_kirjeldus,hind,toidu_kategooria
WidgetWonder,Flaky and tender,59.99€,Sandwiches
WidgetWonder,Juicy and succulent ,4.99€,Pasta dishes
AwesomeAppliance,Tangy and zesty,4.99€,Desserts
MegaGadget,Warm and comforting,24.99€,Desserts
FantasticFixture,Rich and decadent,2.49€,Appetizers
SmartThing,Rich and decadent,9.99€,Meat dishes
FantasticFixture,Creamy and indulgent,12.99€,Pasta dishes
WonderDevice,Tangy and zesty,22.99€,Salads
GizmoGalore,Spicy and flavorful,5.49€,Breakfast dishes
SmartThing,Spicy and flavorful,25€,Snacks
WonderDevice,Spicy and flavorful,24.99€,Soup
GizmoGalore,Tangy and zesty,0.75€,Desserts
